,name,coordinates,Bed,Bath,parking,price,closestTrain,closestTram,closeTrainKM
https://www.domain.com.au/189-melrose-drive-tullamarine-vic-3043-16582495,189 Melrose Drive Tullamarine VIC 3043,[-37.701837  144.8813039],3,1,3,490.0,POINT (144.9158571521166 -37.69511784361399),POINT (144.89056784619248 -37.71382685956854),3
https://www.domain.com.au/2-37-gordon-street-tullamarine-vic-3043-16656269,2/37 Gordon Street Tullamarine VIC 3043,[-37.7047252 144.8761835],3,2,1,470.0,POINT (144.91722585235908 -37.704522842514955),POINT (144.89056784619248 -37.71382685956854),3
https://www.domain.com.au/11-tadstan-drive-tullamarine-vic-3043-16656382,11 Tadstan Drive Tullamarine VIC 3043,[-37.6948026 144.877785 ],3,1,2,440.0,POINT (144.9158571521166 -37.69511784361399),POINT (144.89056784619248 -37.71382685956854),3
https://www.domain.com.au/129-melrose-drive-tullamarine-vic-3043-11865814,129 Melrose Drive Tullamarine VIC 3043,[-37.7061943 144.8845329],3,2,1,450.0,POINT (144.91722585235908 -37.704522842514955),POINT (144.89056784619248 -37.71382685956854),3
https://www.domain.com.au/29-112a-mickleham-rd-tullamarine-vic-3043-16640841,29/112A Mickleham Rd Tullamarine VIC 3043,[-37.6965976 144.8814527],2,1,1,380.0,POINT (144.9158571521166 -37.69511784361399),POINT (144.89056784619248 -37.71382685956854),3
https://www.domain.com.au/2-5-spring-street-tullamarine-vic-3043-16613906,2/5 Spring Street Tullamarine VIC 3043,[-37.7051091 144.8785438],2,1,1,380.0,POINT (144.91722585235908 -37.704522842514955),POINT (144.89056784619248 -37.71382685956854),3
https://www.domain.com.au/11-tadstan-drive-tullamarine-vic-3043-16249044,11 Tadstan Drive Tullamarine VIC 3043,[-37.6948026 144.877785 ],3,1,2,370.0,POINT (144.9158571521166 -37.69511784361399),POINT (144.89056784619248 -37.71382685956854),3
https://www.domain.com.au/1-23-broadmeadows-rd-tullamarine-vic-3043-16328195,1/23 Broadmeadows Rd Tullamarine VIC 3043,[-37.7056698 144.878752 ],2,1,1,360.0,POINT (144.91722585235908 -37.704522842514955),POINT (144.89056784619248 -37.71382685956854),3
https://www.domain.com.au/14-266-melrose-drive-tullamarine-vic-3043-16641889,14/266 Melrose Drive Tullamarine VIC 3043,[-37.6937973 144.8753937],3,1,1,36000.0,POINT (144.9158571521166 -37.69511784361399),POINT (144.89056784619248 -37.71382685956854),3
https://www.domain.com.au/5-23-broadmeadows-rd-tullamarine-vic-3043-13645012,5/23 Broadmeadows Rd Tullamarine VIC 3043,[-37.705705 144.878859],2,1,1,325.0,POINT (144.91722585235908 -37.704522842514955),POINT (144.89056784619248 -37.71382685956854),3
https://www.domain.com.au/12-camdon-street-pascoe-vale-vic-3044-16599659,12 Camdon Street Pascoe Vale VIC 3044,[-37.7298138 144.9340199],4,3,2,850.0,POINT (144.9282018868825 -37.73074281161425),POINT (144.94559780160284 -37.74010380121625),2
https://www.domain.com.au/3-bellevue-terrace-pascoe-vale-vic-3044-16624022,3 Bellevue Terrace Pascoe Vale VIC 3044,[-37.7314502 144.9306654],4,2,3,800.0,POINT (144.9282018868825 -37.73074281161425),POINT (144.94559780160284 -37.74010380121625),1
https://www.domain.com.au/31-joffre-road-pascoe-vale-vic-3044-15836767,31 Joffre Road Pascoe Vale VIC 3044,[-37.7171038 144.9394763],4,2,2,750.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.9636561156981 -37.72756680285633),3
https://www.domain.com.au/2-62-cornwall-road-pascoe-vale-vic-3044-16654488,2/62 Cornwall Road Pascoe Vale VIC 3044,[-37.718038  144.9372399],3,1,1,750.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.9636561156981 -37.72756680285633),3
https://www.domain.com.au/42-hazel-grove-pascoe-vale-vic-3044-16609462,42 Hazel Grove Pascoe Vale VIC 3044,[-37.7268018 144.9407164],3,2,2,720.0,POINT (144.9282018868825 -37.73074281161425),POINT (144.94559780160284 -37.74010380121625),3
https://www.domain.com.au/40-waverley-parade-pascoe-vale-vic-3044-16614554,40 Waverley Parade Pascoe Vale VIC 3044,[-37.7432699 144.9420197],3,1,1,620.0,POINT (144.92732204157832 -37.743577802049984),POINT (144.94477303222436 -37.74410880108164),3
https://www.domain.com.au/2a-west-street-pascoe-vale-vic-3044-16542860,2A West Street Pascoe Vale VIC 3044,[-37.716229 144.936856],3,3,2,595.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.9636561156981 -37.72756680285633),3
https://www.domain.com.au/4-349-gaffney-street-pascoe-vale-vic-3044-16637386,4/349 Gaffney Street Pascoe Vale VIC 3044,[-37.7318958 144.9376757],2,1,1,59500.0,POINT (144.9282018868825 -37.73074281161425),POINT (144.94559780160284 -37.74010380121625),2
https://www.domain.com.au/pascoe-vale-vic-3044-16657156,Pascoe Vale VIC 3044,[-37.7315238 144.9384853],3,2,-1,600.0,POINT (144.9282018868825 -37.73074281161425),POINT (144.94559780160284 -37.74010380121625),2
https://www.domain.com.au/1-25-devon-road-pascoe-vale-vic-3044-15969885,1/25 Devon Road Pascoe Vale VIC 3044,[-37.7218937 144.9256595],3,2,1,580.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.94559780160284 -37.74010380121625),2
https://www.domain.com.au/25-caringa-street-pascoe-vale-vic-3044-16631480,25 Caringa Street Pascoe Vale VIC 3044,[-37.7163854 144.9491815],3,2,1,580.0,POINT (144.96055112393097 -37.71460779503001),POINT (144.9636561156981 -37.72756680285633),3
https://www.domain.com.au/1-3-somerset-street-pascoe-vale-vic-3044-16554060,1/3 Somerset Street Pascoe Vale VIC 3044,[-37.7308597 144.9260343],2,2,1,550.0,POINT (144.9282018868825 -37.73074281161425),POINT (144.94559780160284 -37.74010380121625),1
https://www.domain.com.au/42-zenith-street-pascoe-vale-vic-3044-16476918,42 Zenith Street Pascoe Vale VIC 3044,[-37.7231507 144.9352672],4,2,2,550.0,POINT (144.9282018868825 -37.73074281161425),POINT (144.94559780160284 -37.74010380121625),3
https://www.domain.com.au/1a-ormond-street-pascoe-vale-vic-3044-16017281,1A Ormond Street Pascoe Vale VIC 3044,[-37.7263722 144.9416326],3,1,1,550.0,POINT (144.9282018868825 -37.73074281161425),POINT (144.94559780160284 -37.74010380121625),3
